	Country Pair	Country	betweenness	domain	hashtag	entertainment	politics	sports	promotion	Other Country	alpha2	alpha3	country	language	total_pop_2018	Other Country_other	alpha2_other	alpha3_other	language_other	total_pop_2018_other	num_migrants_c1_c2	num_migrants_c2_c1	num_migrants_dest_c1	num_migrants_dest_c2	num_migrants_source_c1	num_migrants_source_c2	percent_migrants_source_c1	percent_migrants_source_c2	percent_migrants_dest_c1	percent_migrants_dest_c2	percent_c2_migrants_from_c1	percent_c1_migrants_from_c2	population_difference	population_ratio	contiguous	historically_same_country	distance	tradeflow_country_to_other	tradeflow_other_to_country	timezone	timezone_other	pop	pop_other	iso3_o	iso3_d	gdp_o	gdp_d	gdpcap_o	gdpcap_d	eu_o	eu_d	rta	num_conflicts_c1_to_c2	num_conflicts_c2_to_c1	percent_conflicts_c1_to_c2	percent_conflicts_c2_to_c1	linguistic_closeness	linguistic_distance	log_trade_c1_c2	log_trade_c2_c1	log_pop_o	log_pop_d	log_gdp_o	log_gdp_d	log_gdpcap_o	log_gdpcap_d	time_difference_c2_c1	log_dist
0	AM_GB	AM	0.190176528986056							GB	AM	ARM	AM	hy	2951776.0	GB	GB	GBR	en	66460344.0	1467.0	0.0	199176.0	9063422.0	968686.0	4820072.0	0.32817056578818987	0.07252553492651197	0.06747666489598127	0.13637338380312927	0.00016185939482901712	0.0	-63508568.0	0.04441409451627274	0	0	3619.36474609375	3612.2865	46817.06050000001	4.0	0.0	2957.731	66834.40400000001	ARM	GBR	13672802.158	2829108219.166	4.623	42.33	0.0	1.0	1.0	0.0	2.0	0.0	0.0007535795026375	1	2	8.192096230328172	10.754002956075249	7.992177699311263	11.109973256882459	16.43091917364803	21.76322738203932	1.5310438450060884	3.745496054532832	-4.0	8.19405380491612
1	AM_IE	AM	0.261479934102392							IE	AM	ARM	AM	hy	2951776.0	IE	IE	IRL	en	4867316.0	142.0	0.0	199176.0	836534.0	968686.0	770861.0	0.32817056578818987	0.1583749647649752	0.06747666489598127	0.17186761656732374	0.00016974803175961767	0.0	-1915540.0	0.6064483998984245	0	0	4037.11596679688	35.687999999999995	6892.6675	4.0	1.0	2957.731	4941.444	ARM	IRL	13672802.158	388698711.3480001	4.623	78.661	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	3.5748144978259635	8.838213444379962	7.992177699311263	8.505412875160706	16.43091917364803	19.778315080530103	1.5310438450060884	4.365147479864629	-3.0	8.303285846424227
2	AT_ES	ES	0.0262508417063193	2.24877297348295	1.30104019142941	2.26752010519586	1.4160337445599	1.72660554434321	1.66038045302713	AT	ES	ESP	ES	es	46797754.0	AT	AT	AUT	de	8840521.0	6843.0	7184.0	6105479.0	1593398.0	1453098.0	510455.0	0.031050592727163786	0.057740375256164204	0.1304652142066476	0.18023801990855517	0.004294595574991308	0.0011766480566062056	37957233.0	5.293551590454906	0	0	1811.99877929688	2679106.25	2754301.125	1.0	1.0	47076.782	8877.067	ESP	AUT	1393490524.518	445075391.688	29.6	50.138000000000005	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	14.800993808061312	14.828674293252057	10.75953520729641	9.091226488634744	21.05507760509136	19.913754245304244	3.3877743613300146	3.914779203621863	0.0	7.502185812925479
3	DE_ES	ES	0.0915247601255766	2.49492429244772	1.343550574545	2.23809804800394	1.52832641250983	1.76612893210454	1.60065541084085	DE	ES	ESP	ES	es	46797754.0	DE	DE	DEU	de	82905782.0	163560.0	175622.0	6105479.0	12035240.0	1453098.0	4142199.0	0.031050592727163786	0.04996272756947157	0.1304652142066476	0.14516767961973992	0.01359009043442424	0.028764655484033275	-36108028.0	0.5644691223104319	0	0	1479.33154296875	36949702.0	50401032.0	1.0	1.0	47076.782	83132.797	ESP	DEU	1393490524.518	3861123558.039	29.6	46.445	1.0	1.0	1.0	19.0	6.0	0.058282208588957	0.0044085231447465	1	2	17.425068140373323	17.735522209022438	10.75953520729641	11.328194572055592	21.05507760509136	22.074224055280574	3.3877743613300146	3.8382688168394843	0.0	7.299345604572739
4	AZ_ES	ES	-0.0422070884300296	6.83412172409941	8.35823786240177	19.0888896764311	0.885843513150664	2.24070505584098	5.01720450336928	AZ	ES	ESP	ES	es	46797754.0	AZ	AZ	AZE	tr	9939771.0	0.0	621.0	6105479.0	501195.0	1453098.0	1215260.0	0.031050592727163786	0.1222623740526819	0.1304652142066476	0.05042319385426485	0.0	0.00010171192137422797	36857983.0	4.708132008272625	0	0	4470.74462890625	72203.6795	717880.125	1.0	4.0	47076.782	10023.318	ESP	AZE	1393490524.518	48047647.05899999	29.6	4.794	1.0	0.0	0.0	2.0	0.0	0.0061349693251533	0.0	0	3	11.187246286186246	13.484057877267007	10.75953520729641	9.21266945754941	21.05507760509136	17.68770372358636	3.3877743613300146	1.5673651360121925	3.0	8.40531025738203
5	ES_TR	ES	0.0206088604105073	7.88019901726483	9.03990687625579	20.3395255011491	1.16676120413374	3.3288553802556	4.63382987313989	TR	ES	ESP	ES	es	46797754.0	TR	TR	TUR	tr	82319724.0	1788.0	4334.0	6105479.0	4997549.0	1453098.0	3037921.0	0.031050592727163786	0.03690392596554381	0.1304652142066476	0.06070901063759641	0.00035777538149200737	0.0007098542145505701	-35521970.0	0.5684877417713402	0	0	2740.02905273438	4721029.0	8191720.5	1.0	3.0	47076.782	83429.61099999999	ESP	TUR	1393490524.518	761425499.358	29.6	9.127	1.0	0.0	1.0	1.0	0.0	0.0030674846625766	0.0	0	3	15.36753734227592	15.918634507027027	10.75953520729641	11.331758573293856	21.05507760509136	20.450702891446454	3.3877743613300146	2.2112370535347403	2.0	7.915723802513632
6	BY_ES	ES	0.118326588936839	76.7298916096616	2.62664872685188	1.35175325451327	15.1642301954524	11.2083417511272	3.16953175578953	BY	ES	ESP	ES	es	46797754.0	BY	BY	BLR	ru	9483499.0	34.0	4575.0	6105479.0	1088467.0	1453098.0	1646080.0	0.031050592727163786	0.17357306622798188	0.1304652142066476	0.11477483152579021	3.1236592381762604e-05	0.0007493269569840466	37314255.0	4.934650596789223	0	0	2762.70043945312	227461.5705	24655.75	1.0	3.0	47076.782	9466.856	ESP	BLR	1393490524.518	63080457.023	29.6	6.662999999999999	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	12.334736582225283	10.1127654179887	10.75953520729641	9.15555213528119	21.05507760509136	17.95992156516603	3.3877743613300146	1.8965698335804	2.0	7.923963900461954
7	ES_RU	ES	1.13276769722288	75.3598096618859	2.70731441837573	1.34647662661014	16.3622781578714	10.6813224766098	2.98812675512273	RU	ES	ESP	ES	es	46797754.0	RU	RU	RUS	ru	144477859.0	1394.0	85190.0	6105479.0	11651435.0	1453098.0	10961164.0	0.031050592727163786	0.07586743100892712	0.1304652142066476	0.08064512500839316	0.0001196419153520575	0.013953041194638456	-97680105.0	0.3239095202815817	0	0	3449.29956054688	2808704.5	3165754.25	1.0	3.0	47076.782	144373.535	ESP	RUS	1393490524.518	1699876578.871	29.6	11.774	1.0	0.0	0.0	11.0	14.0	0.0337423312883435	0.0029755579171094	1	2	14.848233902973517	14.967901894805834	10.75953520729641	11.880159213020566	21.05507760509136	21.253821484708908	3.3877743613300146	2.4658937106060694	2.0	8.145926463484411
8	CZ_ES	ES	-0.0150610815136033	3.62066369479871e-06	0.970311332701902	0.859432194859349	0.743118800210215	1.04736787150589	2.05036976331604	CZ	ES	ESP	ES	es	46797754.0	CZ	CZ	CZE	cs	10629928.0	1368.0	7611.0	6105479.0	752735.0	1453098.0	484685.0	0.031050592727163786	0.04559626368118392	0.1304652142066476	0.0708128032475855	0.0018173726477445581	0.00124658523925805	36167826.0	4.40245258481525	0	0	1776.34753417969	2872576.75	5891142.5	1.0	1.0	47076.782	10669.709	ESP	CZE	1393490524.518	250680504.53	29.6	23.495	1.0	1.0	1.0	1.0	0.0	0.0030674846625766	0.0	1	2	14.870720007234093	15.588960509652786	10.75953520729641	9.275164071196619	21.05507760509136	19.33968979596433	3.3877743613300146	3.1567876325547792	0.0	7.4823145880683
9	DK_ES	ES	0.008873002592663	3.55738616223351	1.38082773293517	4.12761738254939	2.55885287430278	1.83076283856878	3.56456400175375e-05	DK	ES	ESP	ES	es	46797754.0	DK	DK	DNK	da	5793636.0	5392.0	9665.0	6105479.0	557573.0	1453098.0	259282.0	0.031050592727163786	0.04475289783479666	0.1304652142066476	0.09623887313597196	0.009670482609452035	0.0015830043801641116	41004118.0	8.077441178562133	0	0	2074.9765625	1922656.5625	2432676.5	1.0	1.0	47076.782	5818.553000000001	ESP	DNK	1393490524.518	350104327.65900004	29.6	60.17	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	14.469218413977208	14.704502649505594	10.75953520729641	8.668806884383505	21.05507760509136	19.67374174705672	3.3877743613300146	4.09717388923226	0.0	7.6377051374202845
