	Country Pair	Country	betweenness	domain	hashtag	entertainment	politics	sports	promotion	Other Country	alpha2	alpha3	country	language	total_pop_2018	Other Country_other	alpha2_other	alpha3_other	language_other	total_pop_2018_other	num_migrants_c1_c2	num_migrants_c2_c1	num_migrants_dest_c1	num_migrants_dest_c2	num_migrants_source_c1	num_migrants_source_c2	percent_migrants_source_c1	percent_migrants_source_c2	percent_migrants_dest_c1	percent_migrants_dest_c2	percent_c2_migrants_from_c1	percent_c1_migrants_from_c2	population_difference	population_ratio	contiguous	historically_same_country	distance	tradeflow_country_to_other	tradeflow_other_to_country	timezone	timezone_other	pop	pop_other	iso3_o	iso3_d	gdp_o	gdp_d	gdpcap_o	gdpcap_d	eu_o	eu_d	rta	num_conflicts_c1_to_c2	num_conflicts_c2_to_c1	percent_conflicts_c1_to_c2	percent_conflicts_c2_to_c1	linguistic_closeness	linguistic_distance	log_trade_c1_c2	log_trade_c2_c1	log_pop_o	log_pop_d	log_gdp_o	log_gdp_d	log_gdpcap_o	log_gdpcap_d	time_difference_c2_c1	log_dist	Estimate	Std. Error	P-value	Robust Std. Error	Robust P-value	Treated_Outcome0	Treated_Outcome1	Untreated_Outcome0	Untreated_Outcome1	Treated
0	AT_ES	ES	0.0262508417063193	2.24877297348295	1.30104019142941	2.26752010519586	1.4160337445599	1.72660554434321	1.66038045302713	AT	ES	ESP	ES	es	46797754.0	AT	AT	AUT	de	8840521.0	6843.0	7184.0	6105479.0	1593398.0	1453098.0	510455.0	0.0310505927271637	0.0577403752561642	0.1304652142066476	0.1802380199085551	0.0042945955749913	0.0011766480566062	37957233.0	5.293551590454906	0	0	1811.99877929688	2679106.25	2754301.125	1.0	1.0	47076.782	8877.067	ESP	AUT	1393490524.518	445075391.688	29.6	50.138000000000005	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	14.800993808061312	14.828674293252057	10.75953520729641	9.091226488634744	21.05507760509136	19.913754245304244	3.387774361330014	3.914779203621863	0.0	7.502185812925479	2.26752010519586	0.146751273308834	2.42341816203472e-08	0.160788868860159	3.54889563299744e-07	2785	46	877039	2600	2831
1	DE_ES	ES	0.0915247601255766	2.49492429244772	1.343550574545	2.23809804800394	1.52832641250983	1.76612893210454	1.60065541084085	DE	ES	ESP	ES	es	46797754.0	DE	DE	DEU	de	82905782.0	163560.0	175622.0	6105479.0	12035240.0	1453098.0	4142199.0	0.0310505927271637	0.0499627275694715	0.1304652142066476	0.1451676796197399	0.0135900904344242	0.0287646554840332	-36108028.0	0.5644691223104319	0	0	1479.33154296875	36949702.0	50401032.0	1.0	1.0	47076.782	83132.797	ESP	DEU	1393490524.518	3861123558.039	29.6	46.445	1.0	1.0	1.0	19.0	6.0	0.058282208588957	0.0044085231447465	1	2	17.425068140373323	17.735522209022438	10.75953520729641	11.328194572055592	21.05507760509136	22.07422405528057	3.387774361330014	3.838268816839484	0.0	7.299345604572739	2.23809804800394	0.143568320393308	2.00698420682833e-08	0.156893707628231	2.82361823506393e-07	2896	48	876946	2598	2944
2	AZ_ES	ES	-0.0422070884300296	6.83412172409941	8.35823786240177	19.0888896764311	0.885843513150664	2.24070505584098	5.01720450336928	AZ	ES	ESP	ES	es	46797754.0	AZ	AZ	AZE	tr	9939771.0	0.0	621.0	6105479.0	501195.0	1453098.0	1215260.0	0.0310505927271637	0.1222623740526819	0.1304652142066476	0.0504231938542648	0.0	0.0001017119213742	36857983.0	4.708132008272625	0	0	4470.74462890625	72203.6795	717880.125	1.0	4.0	47076.782	10023.318	ESP	AZE	1393490524.518	48047647.05899999	29.6	4.794	1.0	0.0	0.0	2.0	0.0	0.0061349693251533	0.0	0	3	11.187246286186246	13.484057877267007	10.75953520729641	9.21266945754941	21.05507760509136	17.68770372358636	3.387774361330014	1.5673651360121923	3.0	8.40531025738203	19.0888896764311	0.136720405527456	3.62796268287829e-103	0.147395317942137	4.6775943271712e-89	2379	60	879319	711	2439
3	ES_TR	ES	0.0206088604105073	7.88019901726483	9.03990687625579	20.3395255011491	1.16676120413374	3.3288553802556	4.63382987313989	TR	ES	ESP	ES	es	46797754.0	TR	TR	TUR	tr	82319724.0	1788.0	4334.0	6105479.0	4997549.0	1453098.0	3037921.0	0.0310505927271637	0.0369039259655438	0.1304652142066476	0.0607090106375964	0.000357775381492	0.0007098542145505	-35521970.0	0.5684877417713402	0	0	2740.02905273438	4721029.0	8191720.5	1.0	3.0	47076.782	83429.61099999999	ESP	TUR	1393490524.518	761425499.358	29.6	9.127	1.0	0.0	1.0	1.0	0.0	0.0030674846625766	0.0	0	3	15.36753734227592	15.918634507027027	10.75953520729641	11.331758573293856	21.05507760509136	20.45070289144645	3.387774361330014	2.2112370535347403	2.0	7.915723802513632	20.3395255011491	0.131812433569062	1.41015437082599e-115	0.143129204304309	2.3914850687042e-98	2401	65	879352	707	2466
4	BY_ES	ES	0.118326588936839	76.7298916096616	2.62664872685188	1.35175325451327	15.1642301954524	11.2083417511272	3.16953175578953	BY	ES	ESP	ES	es	46797754.0	BY	BY	BLR	ru	9483499.0	34.0	4575.0	6105479.0	1088467.0	1453098.0	1646080.0	0.0310505927271637	0.1735730662279818	0.1304652142066476	0.1147748315257902	3.1236592381762604e-05	0.000749326956984	37314255.0	4.934650596789223	0	0	2762.70043945312	227461.5705	24655.75	1.0	3.0	47076.782	9466.856	ESP	BLR	1393490524.518	63080457.023	29.6	6.662999999999999	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	12.334736582225284	10.1127654179887	10.75953520729641	9.15555213528119	21.05507760509136	17.95992156516603	3.387774361330014	1.8965698335804	2.0	7.923963900461954	1.35175325451327	0.812461919641251	0.71065679483835	0.226885410249493	0.184034535168688	516	20	872422	9510	536
5	ES_RU	ES	1.13276769722288	75.3598096618859	2.70731441837573	1.34647662661014	16.3622781578714	10.6813224766098	2.98812675512273	RU	ES	ESP	ES	es	46797754.0	RU	RU	RUS	ru	144477859.0	1394.0	85190.0	6105479.0	11651435.0	1453098.0	10961164.0	0.0310505927271637	0.0758674310089271	0.1304652142066476	0.0806451250083931	0.000119641915352	0.0139530411946384	-97680105.0	0.3239095202815817	0	0	3449.29956054688	2808704.5	3165754.25	1.0	3.0	47076.782	144373.535	ESP	RUS	1393490524.518	1699876578.871	29.6	11.774	1.0	0.0	0.0	11.0	14.0	0.0337423312883435	0.0029755579171094	1	2	14.848233902973517	14.967901894805834	10.75953520729641	11.880159213020566	21.05507760509136	21.253821484708908	3.387774361330014	2.465893710606069	2.0	8.145926463484411	1.34647662661014	0.654987799352815	0.649689592013832	0.222610247769844	0.181425992903159	550	21	872394	9509	571
6	CZ_ES	ES	-0.0150610815136033	3.62066369479871e-06	0.970311332701902	0.859432194859349	0.743118800210215	1.04736787150589	2.05036976331604	CZ	ES	ESP	ES	es	46797754.0	CZ	CZ	CZE	cs	10629928.0	1368.0	7611.0	6105479.0	752735.0	1453098.0	484685.0	0.0310505927271637	0.0455962636811839	0.1304652142066476	0.0708128032475855	0.0018173726477445	0.001246585239258	36167826.0	4.40245258481525	0	0	1776.34753417969	2872576.75	5891142.5	1.0	1.0	47076.782	10669.709	ESP	CZE	1393490524.518	250680504.53	29.6	23.495	1.0	1.0	1.0	1.0	0.0	0.0030674846625766	0.0	1	2	14.870720007234093	15.588960509652786	10.75953520729641	9.27516407119662	21.05507760509136	19.33968979596433	3.387774361330014	3.1567876325547792	0.0	7.4823145880683	0.859432194859349	0.135488650485236	0.263545122094456	0.138365322098439	0.273601125813342	1437	61	856666	24306	1498
7	DK_ES	ES	0.008873002592663	3.55738616223351	1.38082773293517	4.12761738254939	2.55885287430278	1.83076283856878	3.56456400175375e-05	DK	ES	ESP	ES	es	46797754.0	DK	DK	DNK	da	5793636.0	5392.0	9665.0	6105479.0	557573.0	1453098.0	259282.0	0.0310505927271637	0.0447528978347966	0.1304652142066476	0.0962388731359719	0.009670482609452	0.0015830043801641	41004118.0	8.077441178562133	0	0	2074.9765625	1922656.5625	2432676.5	1.0	1.0	47076.782	5818.553000000001	ESP	DNK	1393490524.518	350104327.65900004	29.6	60.17	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	14.469218413977208	14.704502649505594	10.75953520729641	8.668806884383505	21.05507760509136	19.67374174705672	3.387774361330014	4.09717388923226	0.0	7.6377051374202845	4.12761738254939	0.416000749862981	0.0006546123999887	0.459432683249984	0.0020303063961134	1013	5	880474	978	1018
8	EE_ES	ES	0.0184294393473215	1.10215869109953	1.03836689177715	0.776917898892594	0.15699999667333	1.07492680954852	1.13095748114787	EE	ES	ESP	ES	es	46797754.0	EE	EE	EST	et	1321977.0	770.0	2093.0	6105479.0	134370.0	1453098.0	201868.0	0.0310505927271637	0.1527015976828643	0.1304652142066476	0.1016432207216918	0.0057304457840291	0.0003428068461131	45475777.0	35.39982465655605	0	0	2895.3837890625	238272.4765	188823.875	1.0	2.0	47076.782	1326.59	ESP	EST	1393490524.518	31471100.656	29.6	23.723000000000003	1.0	1.0	1.0	0.0	1.0	0.0	0.0333333333333333	0	3	12.381170157045728	12.148569981266377	10.75953520729641	7.190367018995804	21.05507760509136	17.26458024319861	3.387774361330014	3.166445041680228	1.0	7.970872950844872	0.776917898892594	0.157505268569946	0.109019627741691	0.161536102412611	0.118140465503052	4575	41	872029	5823	4616
9	ES_FI	ES	0.001174485941285		0.927469428810618	1.8636072222275	1.18176867441628			FI	ES	ESP	ES	es	46797754.0	FI	FI	FIN	fi	5515525.0	2774.0	11371.0	6105479.0	265136.0	1453098.0	292426.0	0.0310505927271637	0.0530187062881593	0.1304652142066476	0.0480708545424053	0.0104625550660792	0.0018624255361454	41282229.0	8.484732459738646	0	0	2952.19458007812	1095869.6875	1421266.0	1.0	2.0	47076.782	5520.314	ESP	FIN	1393490524.518	269296310.18	29.6	48.783	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0	3	13.907058841154717	14.167058581679203	10.75953520729641	8.616190021711276	21.05507760509136	19.41132285616549	3.387774361330014	3.887381891511695	1.0	7.990304098208697	1.8636072222275	0.551600568061048	0.259084075410068	0.643509533170574	0.333357424846219	1339	3	880751	377	1342
