	country pair	monolingual c1	monolingual c2	bilingual	bilingual neighbor	monolingual neighbor
0	('AD', 'AM')	58	302	0	0	331
1	('AD', 'AT')	58	5794	0	0	5310
2	('AD', 'AZ')	58	3451	5	17	3267
3	('AD', 'BY')	58	14466	4	25	12743
4	('AD', 'BG')	58	515	0	0	445
5	('AD', 'CZ')	58	13110	2	1	12215
6	('AD', 'DK')	58	7054	0	0	6700
7	('AD', 'EE')	58	761	1	0	623
8	('AD', 'FI')	58	19216	3	16	18317
9	('AD', 'FR')	58	810848	1274	5235	780267
10	('AD', 'GE')	58	11	0	0	50
11	('AD', 'DE')	58	124817	37	600	115826
12	('AD', 'GR')	58	19497	7	19	18503
13	('AD', 'HU')	58	2074	0	0	1912
14	('AD', 'IS')	58	1760	2	12	1740
15	('AD', 'IE')	58	116994	105	328	110298
16	('AD', 'IL')	58	12324	6	9	12214
17	('AD', 'IT')	58	159876	212	777	147142
18	('AD', 'LV')	58	4481	3	6	4138
19	('AD', 'LT')	58	167	0	0	200
20	('AD', 'MD')	58	19	0	0	61
21	('AD', 'NL')	58	92759	82	197	84230
22	('AD', 'NO')	58	6395	1	1	5642
23	('AD', 'PL')	58	78119	10	19	75468
24	('AD', 'PT')	58	153568	155	497	148645
25	('AD', 'RO')	58	342	0	0	290
26	('AD', 'RU')	58	314347	21	51	297041
27	('AD', 'SM')	58	60	0	0	93
28	('AD', 'SI')	58	2232	0	0	2190
29	('AD', 'ES')	61	882476	64280	184930	902369
30	('AD', 'SE')	58	38112	19	54	36016
31	('AD', 'TR')	58	1157269	418	1007	1087381
32	('AD', 'GB')	58	2361692	1184	5145	2264396
33	('AM', 'AT')	302	5794	0	0	5547
34	('AM', 'AZ')	302	3451	1	0	3499
35	('AM', 'BY')	302	14466	20	60	12999
36	('AM', 'BG')	302	515	1	1	683
37	('AM', 'CZ')	302	13110	0	0	12451
38	('AM', 'DK')	302	7054	0	0	6937
39	('AM', 'EE')	302	761	0	0	857
40	('AM', 'FI')	302	19216	0	0	18551
41	('AM', 'FR')	302	810848	1	12	779365
42	('AM', 'GE')	302	11	0	0	287
43	('AM', 'DE')	302	124817	0	0	116034
44	('AM', 'GR')	302	19497	0	0	18734
45	('AM', 'HU')	302	2074	0	0	2149
46	('AM', 'IS')	302	1760	0	0	1975
47	('AM', 'IE')	302	116995	158	365	110700
48	('AM', 'IL')	302	12324	0	0	12445
49	('AM', 'IT')	302	159876	0	0	147201
50	('AM', 'LV')	302	4481	0	0	4372
51	('AM', 'LT')	302	167	0	0	437
52	('AM', 'MD')	302	19	0	0	298
53	('AM', 'NL')	302	92759	0	0	84397
54	('AM', 'NO')	302	6395	0	0	5876
55	('AM', 'PL')	302	78119	0	0	75698
56	('AM', 'PT')	302	153568	0	0	148751
57	('AM', 'RO')	302	342	0	0	527
58	('AM', 'RU')	303	314347	34	209	297308
59	('AM', 'SM')	302	60	0	0	330
60	('AM', 'SI')	302	2232	0	0	2427
61	('AM', 'ES')	302	882468	0	0	831351
62	('AM', 'SE')	302	38112	0	0	36235
63	('AM', 'TR')	302	1157269	3	16	1087260
64	('AM', 'GB')	302	2361697	168	393	2263907
65	('AT', 'AZ')	5794	3451	41	95	8857
66	('AT', 'BY')	5794	14468	14	36	18008
67	('AT', 'BG')	5795	515	5	5	5674
68	('AT', 'CZ')	5794	13110	24	245	17463
69	('AT', 'DK')	5794	7054	39	78	11968
70	('AT', 'EE')	5794	761	9	252	5843
71	('AT', 'FI')	5794	19216	25	295	23555
72	('AT', 'FR')	5811	810877	1098	5030	785696
73	('AT', 'GE')	5794	11	0	0	5266
74	('AT', 'GR')	5796	19497	20	129	23748
75	('AT', 'HU')	5796	2074	8	15	7159
76	('AT', 'IS')	5794	1760	3	3	6956
77	('AT', 'IE')	5794	117038	4222	7760	120586
78	('AT', 'IL')	5794	12324	5	21	17436
79	('AT', 'IT')	5799	159877	224	1355	152489
80	('AT', 'LV')	5794	4481	8	133	9355
81	('AT', 'LT')	5794	167	2	4	5418
82	('AT', 'MD')	5794	19	0	0	5277
83	('AT', 'NL')	5798	92759	843	2862	90335
84	('AT', 'NO')	5795	6395	31	104	10886
85	('AT', 'PL')	5796	78120	143	1161	80885
86	('AT', 'PT')	5795	153569	45	113	153789
87	('AT', 'RO')	5795	342	2	1	5507
88	('AT', 'RU')	5794	314347	199	1279	302481
89	('AT', 'SM')	5794	60	9	4	5322
90	('AT', 'SI')	5794	2232	2	4	7417
91	('AT', 'ES')	5801	882470	648	2899	836993
92	('AT', 'SE')	5794	38112	201	1024	41395
93	('AT', 'TR')	5796	1157293	2063	8005	1094645
94	('AT', 'GB')	5826	2361989	14423	44372	2285769
95	('AZ', 'BY')	3451	14468	69	257	16002
96	('AZ', 'BG')	3451	515	2	1	3637
97	('AZ', 'CZ')	3451	13110	13	18	15420
98	('AZ', 'DK')	3451	7054	14	96	9944
99	('AZ', 'EE')	3451	761	7	28	3799
100	('AZ', 'FI')	3451	19216	39	101	21522
101	('AZ', 'FR')	3452	810848	2867	14351	785392
102	('AZ', 'GE')	3451	11	0	0	3226
103	('AZ', 'DE')	3455	124817	1010	3772	121682
104	('AZ', 'GR')	3452	19497	14	61	21873
105	('AZ', 'HU')	3452	2074	2	1	5170
106	('AZ', 'IS')	3451	1760	2	21	4911
107	('AZ', 'IE')	3451	116998	701	1937	114148
108	('AZ', 'IL')	3451	12324	2	1	15380
109	('AZ', 'IT')	3451	159876	85	344	150307
110	('AZ', 'LV')	3451	4481	4	19	7336
111	('AZ', 'LT')	3451	167	2	1	3383
112	('AZ', 'MD')	3451	19	3	5	3231
113	('AZ', 'NL')	3451	92759	276	796	88048
114	('AZ', 'NO')	3451	6395	10	93	8853
115	('AZ', 'PL')	3451	78119	44	148	78811
116	('AZ', 'PT')	3452	153568	42	239	151763
117	('AZ', 'RO')	3451	342	4	14	3490
118	('AZ', 'RU')	3452	314347	309	1049	300801
119	('AZ', 'SM')	3451	60	5	7	3266
120	('AZ', 'SI')	3451	2232	3	1	5359
121	('AZ', 'ES')	3453	882469	574	2472	834871
122	('AZ', 'SE')	3452	38112	75	272	39338
123	('AZ', 'GB')	3453	2361697	2838	9580	2269748
124	('BG', 'BY')	515	14466	705	1212	13671
125	('BY', 'CZ')	14469	13110	66	167	25092
126	('BY', 'DK')	14468	7054	1	1	19371
127	('BY', 'EE')	14466	761	7	14	13486
128	('BY', 'FI')	14466	19216	4	6	30996
129	('BY', 'FR')	14471	810848	52	237	791942
130	('BY', 'GE')	14466	11	1	0	12695
131	('BY', 'DE')	14503	124817	88	382	128959
132	('BY', 'GR')	14468	19497	3	22	31155
133	('BY', 'HU')	14466	2074	2	2	14586
134	('BY', 'IS')	14466	1760	0	0	14383
135	('BY', 'IE')	14466	116998	2383	5658	125058
136	('BY', 'IL')	14469	12324	8	68	24890
137	('BY', 'IT')	14468	159876	12	80	159678
138	('BY', 'LV')	14473	4481	86	476	17532
139	('BY', 'LT')	14484	167	3	3	13060
140	('BY', 'MD')	14469	19	8	25	12755
141	('BY', 'NL')	14471	92759	7	49	96904
142	('BY', 'NO')	14467	6395	2	0	18296
143	('BY', 'PL')	14514	78120	41	227	88564
144	('BY', 'PT')	14468	153568	11	47	161193
145	('BY', 'RO')	14466	342	1	0	12942
146	('BY', 'SM')	14466	60	3	3	12740
147	('BY', 'SI')	14466	2232	1	4	14836
148	('BY', 'ES')	14471	882468	71	563	843922
149	('BY', 'SE')	14489	38112	7	43	49822
150	('BY', 'TR')	14467	1157269	161	725	1099881
151	('BY', 'GB')	14493	2361698	3107	8007	2279075
152	('BG', 'CZ')	515	13110	0	0	12567
153	('BG', 'DK')	515	7054	0	0	7052
154	('BG', 'EE')	515	761	0	0	971
155	('BG', 'FI')	515	19216	0	0	18666
156	('BG', 'FR')	515	810848	3	5	779481
157	('BG', 'GE')	515	11	0	0	401
158	('BG', 'DE')	516	124817	8	12	116157
159	('BG', 'GR')	515	19497	2	5	18851
160	('BG', 'HU')	515	2074	0	0	2263
161	('BG', 'IS')	515	1760	0	0	2089
162	('BG', 'IE')	515	116999	455	749	111165
163	('BG', 'IL')	515	12324	0	0	12559
164	('BG', 'IT')	515	159880	0	0	147325
165	('BG', 'LV')	515	4481	0	0	4486
166	('BG', 'LT')	515	167	0	0	552
167	('BG', 'MD')	515	19	0	0	412
168	('BG', 'NL')	515	92759	0	0	84515
169	('BG', 'NO')	515	6395	1	0	5990
170	('BG', 'PL')	515	78119	0	0	75814
171	('BG', 'PT')	515	153568	0	0	148866
172	('BG', 'RO')	515	342	0	0	641
173	('BG', 'RU')	515	314347	2289	7569	299329
174	('BG', 'SM')	515	60	0	0	445
175	('BG', 'SI')	515	2232	0	0	2541
176	('BG', 'ES')	515	882468	5	8	831475
177	('BG', 'SE')	515	38112	0	0	36349
178	('BG', 'TR')	515	1157272	15	87	1087425
179	('BG', 'GB')	515	2361720	501	1120	2264594
180	('CZ', 'DK')	13111	7054	4	14	18825
181	('CZ', 'EE')	13110	761	14	19	12752
182	('CZ', 'FI')	13110	19216	3	19	30437
