"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	4.14505837793447	0.312436040931109	13.2669021332543	6.75904023739168e-29
"distance"	0.433955156864013	0.370783573136064	1.17037319963678	0.243309039377623
"time_difference_c2_c1"	0.814801904265557	0.31277798521552	2.60504876551372	0.00990935989068155
"pop_ratio"	-0.0311640407224062	0.432490033477313	-0.07205724597129	0.942631748337733
"percent_c2_migrants_from_c1"	-0.0443267178000778	0.486977326830196	-0.0910241922115896	0.927568757639409
"percent_c1_migrants_from_c2"	-0.197016033271841	0.728469650142098	-0.270451944337572	0.78710460061981
"percent_migrants_dest_c1"	-0.030953578327179	0.409853523739712	-0.0755235139733404	0.939877234287459
"percent_migrants_dest_c2"	-1.10026387907531	0.434511150977632	-2.53218790035599	0.0121403525031047
"gdpcap_ratio"	0.318328000368849	0.609497520168477	0.522279402024239	0.6020810216315
"rta"	-0.411381931459396	0.476168002027937	-0.863942830487086	0.388702940330208
"tradeflowcap"	0.42517961297043	0.510852372455631	0.832294486422019	0.406282162468033
"percent_conflicts_c1_to_c2"	-0.158601973282084	0.362098233378836	-0.438008138847092	0.661875327143104
"percent_conflicts_c2_to_c1"	-0.257309041671878	0.399177334803456	-0.644598325700456	0.519960937526476
"linguistic_distance"	0.449167206169149	0.338479083696807	1.3270161371965	0.186087529583384
