"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	0.0623160752885059	3.58459021972351e-05	1738.44348917831	0
"pop_ratio"	-0.00978273259582918	4.67626959696045e-05	-209.199499579492	0
"linguistic_distance"	-0.0270583943776551	5.39622569659798e-05	-501.431850686191	0
"contiguous"	-0.0081391058122177	4.19278332094068e-05	-194.121784723939	0
"distance"	0.0183546519098166	7.33952573879114e-05	250.079535967943	0
"time_difference_c2_c1"	0.00976809116617194	6.54050223108266e-05	149.347723172552	0
"percent_conflicts_c1_to_c2"	0.00165141772817905	6.59253556755059e-05	25.0498114307879	1.85419797725819e-138
"percent_conflicts_c2_to_c1"	-0.00172376645835762	6.65087788490447e-05	-25.9178786347898	4.46261841205328e-148
"num_conflicts"	0.0151398154520403	6.779046862376e-05	223.332509118161	0
"tradeflow"	-0.00938934578145246	6.20834702864448e-05	-151.237450776048	0
"c1_in_eu"	0.0070098916303694	7.60927219702679e-05	92.1230237118921	0
"c2_in_eu"	-0.0116015244851223	5.39140916691615e-05	-215.185383374609	0
"rta"	0.0103497902006448	6.14790001658974e-05	168.346755359009	0
"gdpcap_ratio"	0.00320913176449666	7.00493815793974e-05	45.812421068404	0
"percent_c2_migrants_from_c1"	0.00842661157108095	4.6808084408745e-05	180.024704653511	0
"percent_c1_migrants_from_c2"	0.00608083411597668	6.00054334538917e-05	101.338058338487	0
"percent_migrants_dest_c1"	-0.00289051378039856	5.90612469431743e-05	-48.9409541789671	0
"percent_migrants_dest_c2"	0.00550314943604867	6.18767220844911e-05	88.9373135916	0
