"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	4.06423675856057	0.311815375714055	13.034112731784	3.69982545246068e-28
"pop_ratio"	1.0009749421707	0.644261106455513	1.55367898533825	0.121925113937896
"linguistic_distance"	0.458075157846336	0.33535758009001	1.36593053219012	0.173575411832534
"distance"	0.406918521500156	0.367552129718425	1.10710424072876	0.269648513053382
"time_difference_c2_c1"	0.840482583629879	0.310100893067812	2.71035202548121	0.00733652110183035
"percent_conflicts_c1_to_c2"	-0.0626851522263552	0.361507049230245	-0.173399529441626	0.862521988785166
"percent_conflicts_c2_to_c1"	-0.282824432110334	0.395644564398694	-0.714844730750123	0.475582394898225
"tradeflowcap"	0.340707891715762	0.507631912906141	0.671171143999289	0.502926642361337
"rta"	-0.316718839424197	0.473799899965303	-0.668465399522858	0.504647850920272
"gdp_ratio"	-1.75338821790552	0.817340760607045	-2.14523525855149	0.0332034487693825
"gdpcap_ratio"	1.03100578698506	0.689186056497588	1.49597598103564	0.1363191008336
"percent_c2_migrants_from_c1"	0.0277768564969557	0.483618743558829	0.0574354424159675	0.954258688241975
"percent_c1_migrants_from_c2"	-0.466642672500934	0.732558899634316	-0.63700362214407	0.52488925305715
"percent_migrants_dest_c1"	-0.00187766851475237	0.406268813205496	-0.0046217392369781	0.996317247709684
"percent_migrants_dest_c2"	-1.27950466628506	0.43850473301155	-2.91788108533679	0.00394931084704078
