"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	1.96692652691081	0.000580759789528609	3386.81596483689	0
"pop_ratio"	-0.141057610779938	0.000727783487285638	-193.818097338304	0
"linguistic_distance"	-0.0257792637851096	0.00088296445588967	-29.196264485114	2.2713930593963e-187
"contiguous"	-0.204089385118951	0.000737543055461675	-276.715214939144	0
"distance"	0.444279464436045	0.00130194059020942	341.244038151221	0
"time_difference_c2_c1"	0.255042988470809	0.00108077327408288	235.98195346497	0
"percent_conflicts_c1_to_c2"	-0.0766664822535316	0.00103894667087849	-73.7925096662621	0
"percent_conflicts_c2_to_c1"	0.16902073053328	0.00110687530240576	152.700787673118	0
"num_conflicts"	-0.0340093802472233	0.00108539786557126	-31.3335610157328	1.73870319714143e-215
"tradeflow"	0.199702222422038	0.000950445540982381	210.114324083867	0
"c1_in_eu"	-0.109717795521926	0.00153342530628825	-71.5507922505234	0
"c2_in_eu"	-0.471490174062598	0.00087422860165523	-539.321377920943	0
"rta"	0.329580751835675	0.00108476214091339	303.827668209512	0
"gdpcap_ratio"	0.432816442630501	0.00120000406413387	360.679147318468	0
"percent_c2_migrants_from_c1"	-0.156541755042181	0.000804193682911163	-194.656782773402	0
"percent_c1_migrants_from_c2"	-0.0156664893629215	0.000948148792591823	-16.5232392693305	2.50885544745774e-61
"percent_migrants_dest_c1"	-0.214567768117271	0.00104838261155737	-204.665515959418	0
"percent_migrants_dest_c2"	-0.0116602105295381	0.000955332114928859	-12.2053999308988	2.91315459531406e-34
