"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	2.81335235870746	0.152615644002256	18.4342331161403	7.55272941909236e-46
"pop_ratio"	0.433085858540366	0.351745876274693	1.23124644168437	0.219601291915627
"linguistic_distance"	0.169544379176256	0.143291416875103	1.18321378121368	0.238055843377474
"distance"	0.616212724663789	0.168912111810791	3.64812634249726	0.000332900618933309
"time_difference_c2_c1"	0.296850846513371	0.141031464090006	2.10485545497791	0.0364872823022824
"percent_conflicts_c1_to_c2"	0.0448672573397904	0.143299075594481	0.313102210559678	0.754512275867363
"percent_conflicts_c2_to_c1"	0.166448036555098	0.192581282761407	0.864300175844783	0.388404500959041
"tradeflowcap"	0.281867000597125	0.207164218630734	1.36059693348661	0.175092716551303
"rta"	0.451925316599159	0.215231055393669	2.09972169570309	0.0369418162845605
"gdp_ratio"	-0.733985573242645	0.325999689595453	-2.25149163225732	0.0253847409662857
"gdpcap_ratio"	1.8283306960698	0.329321686475143	5.55180776473946	8.44288072466345e-08
"percent_c2_migrants_from_c1"	-0.110988804183979	0.177395318212821	-0.625658023572108	0.532215413723393
"percent_c1_migrants_from_c2"	-0.251294052267471	0.228744830961932	-1.0985780584012	0.273204122072811
"percent_migrants_dest_c1"	-0.180075509734996	0.189277935020592	-0.951381415458729	0.342499301979191
"percent_migrants_dest_c2"	0.0757642310535698	0.193162355357821	0.39223083044945	0.69528356722728
