"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	1.52100776427063	0.000320412796393283	4747.02565375606	0
"pop_ratio"	-0.0547162793085115	0.000395391304954725	-138.385135491983	0
"linguistic_distance"	0.0901914975154383	0.000481600628912049	187.274459585287	0
"contiguous"	0.00565239344747006	0.000402015784003797	14.060128165059	6.69395052539818e-45
"distance"	0.369316369865984	0.000680479934007113	542.729258291581	0
"time_difference_c2_c1"	0.0292506588153943	0.000584340855062591	50.0575281737936	0
"percent_conflicts_c1_to_c2"	-0.0571079241828455	0.00053936996756835	-105.878946950469	0
"percent_conflicts_c2_to_c1"	0.0974381620443472	0.000584729476187235	166.638019823626	0
"num_conflicts"	-0.0135753089934507	0.000589376547351094	-23.0333376081282	2.20160374172407e-117
"tradeflow"	0.139268361910513	0.000510157814513767	272.990745115314	0
"c1_in_eu"	-0.144173072938823	0.000780298827751577	-184.766486647502	0
"c2_in_eu"	-0.324194956167996	0.000476249429078623	-680.725133456222	0
"rta"	0.200892875187416	0.000558657471943931	359.59937041275	0
"gdpcap_ratio"	0.370635754380634	0.000639707165753613	579.383465157848	0
"percent_c2_migrants_from_c1"	-0.0151724119871347	0.000427607948757162	-35.4820625557434	1.03226074826738e-275
"percent_c1_migrants_from_c2"	0.042232961219899	0.00049301294301101	85.6629867807665	0
"percent_migrants_dest_c1"	0.105956265861039	0.000540094353674938	196.181028629694	0
"percent_migrants_dest_c2"	0.0604735374681827	0.000509821313937146	118.61712293111	0
