"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	1.68094720187259	0.000379333695268481	4431.31528477287	0
"pop_ratio"	-0.262815380672537	0.000560187199943148	-469.156347555262	0
"linguistic_distance"	-0.0311132590800404	0.000582729983349372	-53.3922399208119	0
"contiguous"	-0.0644815975120192	0.00047948119160427	-134.48201648176	0
"distance"	0.278374732737994	0.000833947339314979	333.803730301072	0
"time_difference_c2_c1"	0.052705280965355	0.000714442439982153	73.7712067702355	0
"percent_conflicts_c1_to_c2"	-0.0388149019722697	0.000646770999282171	-60.0133617854681	0
"percent_conflicts_c2_to_c1"	0.170451224098061	0.000713580846639676	238.867431631234	0
"num_conflicts"	-0.120734178897829	0.00071989125713497	-167.711689371431	0
"tradeflow"	0.0238670126538703	0.000609778968411713	39.1404326653583	0
"c1_in_eu"	-0.358522634997481	0.000964921271002064	-371.556359852195	0
"c2_in_eu"	-0.265203088374747	0.000573152398031792	-462.709550349009	0
"rta"	0.353047167221411	0.000720598083861269	489.936311417365	0
"gdpcap_ratio"	0.570427886897286	0.000774889334349018	736.141099911384	0
"percent_c2_migrants_from_c1"	-0.141306303232169	0.000519557879859258	-271.974131679896	0
"percent_c1_migrants_from_c2"	0.0423497443482248	0.000612446750165589	69.148451415204	0
"percent_migrants_dest_c1"	0.0420066970625074	0.000656907830505124	63.9461049356143	0
"percent_migrants_dest_c2"	0.25149088705589	0.000625800824980957	401.870494599529	0
