"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	2.27309291309871	0.120584372194185	18.8506426806137	3.43847283205919e-48
"pop_ratio"	-0.0694989390056416	0.169935302232263	-0.408972933185198	0.682948535174133
"linguistic_distance"	0.0471640180101693	0.128528413288481	0.366954020542603	0.713998191339737
"distance"	0.211542905927109	0.142019822281886	1.48953084525927	0.137748019802745
"time_difference_c2_c1"	-0.0569799746186039	0.121581845575156	-0.468655286067209	0.639769781722033
"percent_conflicts_c1_to_c2"	-0.205032949377427	0.178387423640136	-1.14936885792489	0.251624203190315
"percent_conflicts_c2_to_c1"	0.060647902864544	0.164268698599592	0.369199387233074	0.712326316957694
"tradeflowcap"	-0.135145039051115	0.186248588307603	-0.72561644777631	0.468827981186165
"rta"	0.388272630394113	0.187794836748492	2.06753623857144	0.0398274256490122
"gdp_ratio"	-0.390038305332627	0.248594324824725	-1.56897509871808	0.118058977688029
"gdpcap_ratio"	1.53942039613438	0.304947100944792	5.04815553702568	9.20284775290304e-07
"percent_c2_migrants_from_c1"	-0.276608449931247	0.150763923144281	-1.83471247074496	0.0678686407248848
"percent_c1_migrants_from_c2"	-0.152468498695224	0.19932333125205	-0.764930516349955	0.445114473256556
"percent_migrants_dest_c1"	-0.178664091624359	0.16041278395303	-1.11377713933743	0.266563193058369
"percent_migrants_dest_c2"	-0.100803210280169	0.173468707167183	-0.58110313915592	0.561752581093923
