"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	1.77303013022951	0.000237299286404899	7471.7044332119	0
"pop_ratio"	-0.00733544966874397	0.000315295475875584	-23.265318502821	1.01589022733255e-119
"linguistic_distance"	-0.262073283147426	0.000369235083808506	-709.773514597391	0
"contiguous"	-0.212577210068492	0.000307276648689833	-691.810493816822	0
"distance"	0.337217680745024	0.000553663504555833	609.066116820452	0
"time_difference_c2_c1"	-0.109354200513478	0.000448743859060487	-243.68957547949	0
"percent_conflicts_c1_to_c2"	-0.0827603779296397	0.000432727693573148	-191.252788205592	0
"percent_conflicts_c2_to_c1"	0.0644570296350741	0.000465350492876259	138.512864221278	0
"num_conflicts"	0.0772435128333597	0.000450303177730112	171.536681625763	0
"tradeflow"	0.0795538841687835	0.000401284185973914	198.248241394578	0
"c1_in_eu"	-0.456358325599527	0.000651714969249853	-700.242202699152	0
"c2_in_eu"	-0.0790297979447097	0.000365605183571015	-216.161590415085	0
"rta"	0.570178106623918	0.000464071077960755	1228.64391620659	0
"gdpcap_ratio"	0.515449144181235	0.000519954444328144	991.335202158469	0
"percent_c2_migrants_from_c1"	-0.0663515509302209	0.000334659178094883	-198.266042807913	0
"percent_c1_migrants_from_c2"	0.102600272693721	0.000399387088684429	256.89431531621	0
"percent_migrants_dest_c1"	0.0352105883559541	0.000444151374082198	79.2760991198416	0
"percent_migrants_dest_c2"	0.253622695537167	0.000423919830205863	598.279857335298	0
