"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	1.27906275561002	0.000585039960844649	2186.28271778799	0
"pop_ratio"	0.0270376704785231	0.000739854220339669	36.5445918063561	2.45183460579086e-292
"linguistic_distance"	0.0966408049885941	0.00089176015353882	108.370849050711	0
"contiguous"	0.00544303236552963	0.000746473475741592	7.29166211849952	3.06214853161695e-13
"distance"	0.325105160644583	0.00132126011656099	246.056894149483	0
"time_difference_c2_c1"	0.307207962426179	0.00108371239442601	283.477391239853	0
"percent_conflicts_c1_to_c2"	-0.0627927475637539	0.00103450492375185	-60.6983554375194	0
"percent_conflicts_c2_to_c1"	-0.0135996447592864	0.00112527471494255	-12.0856219185381	1.25998488374278e-33
"num_conflicts"	0.0850466467942299	0.00109113911385842	77.942991607636	0
"tradeflow"	0.126570967027308	0.000952102287590664	132.938412896371	0
"c1_in_eu"	-0.102085172497172	0.00149649317083159	-68.2162635198953	0
"c2_in_eu"	-0.377960097409724	0.000856833308961546	-441.112750235865	0
"rta"	0.00642690447832965	0.00110733313177728	5.80394850826362	6.47764326743298e-09
"gdpcap_ratio"	0.269122673323603	0.00120501908095789	223.334781644845	0
"percent_c2_migrants_from_c1"	0.0783621303691764	0.000817337668118814	95.8748549415749	0
"percent_c1_migrants_from_c2"	-0.0999847335087027	0.000953053644406875	-104.909869549817	0
"percent_migrants_dest_c1"	-0.0208818776885623	0.00106534985468061	-19.6009579358535	1.53269110228073e-85
"percent_migrants_dest_c2"	-0.361198630539568	0.000985884517529148	-366.370121568411	0
