"term"	"estimate"	"std.error"	"statistic"	"p.value"
"(Intercept)"	2.22880685823316	0.143262721350729	15.5574795537822	2.20914981109836e-35
"pop_ratio"	0.664153656061679	0.391144870582879	1.69797357964062	0.091203237631231
"linguistic_distance"	0.133381304544922	0.14924401601375	0.893712914644652	0.372642968239927
"distance"	0.475262149478135	0.181092243881506	2.62442023629192	0.00940894328173158
"time_difference_c2_c1"	0.30102937185503	0.14185562464098	2.12208273458948	0.0351687579797536
"percent_conflicts_c1_to_c2"	0.0943442513929168	0.115855993134359	0.814323444480811	0.416512330429612
"percent_conflicts_c2_to_c1"	0.076799774217282	0.211200123724566	0.363635081565765	0.716547990728183
"tradeflowcap"	0.141143227850168	0.2359905061721	0.598088584746868	0.550516280782761
"rta"	0.0483618641802458	0.190859786953875	0.253389490537015	0.800250141536959
"gdp_ratio"	-0.5482752796353	0.347363857292047	-1.57838896628309	0.116193898518063
"gdpcap_ratio"	1.11380305336744	0.281366322803971	3.95855140824169	0.000107627864074642
"percent_c2_migrants_from_c1"	0.206810456466829	0.226649946135344	0.912466382601001	0.362717238142609
"percent_c1_migrants_from_c2"	-0.373752735849619	0.228725959540576	-1.6340634731639	0.10395533352697
"percent_migrants_dest_c1"	-0.0073298161697009	0.19077070970614	-0.0384221256029901	0.969392775244156
"percent_migrants_dest_c2"	-0.489574800588506	0.202377568130583	-2.41911593814888	0.0165319546175929
