	Country Pair	Country	betweenness	domain	hashtag	entertainment	politics	sports	promotion	Other Country	alpha2	alpha3	country	language	total_pop_2018	Other Country_other	alpha2_other	alpha3_other	language_other	total_pop_2018_other	num_migrants_c1_c2	num_migrants_c2_c1	num_migrants_dest_c1	num_migrants_dest_c2	num_migrants_source_c1	num_migrants_source_c2	percent_migrants_source_c1	percent_migrants_source_c2	percent_migrants_dest_c1	percent_migrants_dest_c2	percent_c2_migrants_from_c1	percent_c1_migrants_from_c2	population_difference	population_ratio	contiguous	historically_same_country	distance	tradeflow_country_to_other	tradeflow_other_to_country	timezone	timezone_other	pop	pop_other	iso3_o	iso3_d	gdp_o	gdp_d	gdpcap_o	gdpcap_d	eu_o	eu_d	rta	num_conflicts_c1_to_c2	num_conflicts_c2_to_c1	percent_conflicts_c1_to_c2	percent_conflicts_c2_to_c1	linguistic_closeness	linguistic_distance	log_trade_c1_c2	log_trade_c2_c1	log_pop_o	log_pop_d	log_gdp_o	log_gdp_d	log_gdpcap_o	log_gdpcap_d	time_difference_c2_c1	log_dist	Estimate	Std. Error	P-value	Robust Std. Error	Robust P-value	Treated_Outcome0	Treated_Outcome1	Untreated_Outcome0	Untreated_Outcome1	Treated
0	AT_ES	ES	0.0262508417063193	2.24877297348295	1.30104019142941	2.26752010519586	1.4160337445599	1.72660554434321	1.66038045302713	AT	ES	ESP	ES	es	46797754.0	AT	AT	AUT	de	8840521.0	6843.0	7184.0	6105479.0	1593398.0	1453098.0	510455.0	0.0310505927271637	0.0577403752561642	0.1304652142066476	0.1802380199085551	0.0042945955749913	0.0011766480566062	37957233.0	5.293551590454906	0	0	1811.99877929688	2679106.25	2754301.125	1.0	1.0	47076.782	8877.067	ESP	AUT	1393490524.518	445075391.688	29.6	50.138000000000005	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	14.800993808061312	14.828674293252057	10.75953520729641	9.091226488634744	21.05507760509136	19.913754245304244	3.387774361330014	3.914779203621863	0.0	7.502185812925479	2.24877297348295	0.155381545497264	1.83412485706615e-07	0.178840610848149	5.8615205603555e-06	2788	43	877970	1669	2831
1	DE_ES	ES	0.0915247601255766	2.49492429244772	1.343550574545	2.23809804800394	1.52832641250983	1.76612893210454	1.60065541084085	DE	ES	ESP	ES	es	46797754.0	DE	DE	DEU	de	82905782.0	163560.0	175622.0	6105479.0	12035240.0	1453098.0	4142199.0	0.0310505927271637	0.0499627275694715	0.1304652142066476	0.1451676796197399	0.0135900904344242	0.0287646554840332	-36108028.0	0.5644691223104319	0	0	1479.33154296875	36949702.0	50401032.0	1.0	1.0	47076.782	83132.797	ESP	DEU	1393490524.518	3861123558.039	29.6	46.445	1.0	1.0	1.0	19.0	6.0	0.058282208588957	0.0044085231447465	1	2	17.425068140373323	17.735522209022438	10.75953520729641	11.328194572055592	21.05507760509136	22.07422405528057	3.387774361330014	3.838268816839484	0.0	7.299345604572739	2.49492429244772	0.146217878241064	4.03567339396386e-10	0.167923769945681	5.19555887875347e-08	2895	49	877880	1664	2944
2	AZ_ES	ES	-0.0422070884300296	6.83412172409941	8.35823786240177	19.0888896764311	0.885843513150664	2.24070505584098	5.01720450336928	AZ	ES	ESP	ES	es	46797754.0	AZ	AZ	AZE	tr	9939771.0	0.0	621.0	6105479.0	501195.0	1453098.0	1215260.0	0.0310505927271637	0.1222623740526819	0.1304652142066476	0.0504231938542648	0.0	0.0001017119213742	36857983.0	4.708132008272625	0	0	4470.74462890625	72203.6795	717880.125	1.0	4.0	47076.782	10023.318	ESP	AZE	1393490524.518	48047647.05899999	29.6	4.794	1.0	0.0	0.0	2.0	0.0	0.0061349693251533	0.0	0	3	11.187246286186246	13.484057877267007	10.75953520729641	9.21266945754941	21.05507760509136	17.68770372358636	3.387774361330014	1.5673651360121923	3.0	8.40531025738203	6.83412172409941	0.407460400227613	2.39565399577391e-06	0.417800112195457	4.22260664149483e-06	2432	7	879871	159	2439
3	ES_TR	ES	0.0206088604105073	7.88019901726483	9.03990687625579	20.3395255011491	1.16676120413374	3.3288553802556	4.63382987313989	TR	ES	ESP	ES	es	46797754.0	TR	TR	TUR	tr	82319724.0	1788.0	4334.0	6105479.0	4997549.0	1453098.0	3037921.0	0.0310505927271637	0.0369039259655438	0.1304652142066476	0.0607090106375964	0.000357775381492	0.0007098542145505	-35521970.0	0.5684877417713402	0	0	2740.02905273438	4721029.0	8191720.5	1.0	3.0	47076.782	83429.61099999999	ESP	TUR	1393490524.518	761425499.358	29.6	9.127	1.0	0.0	1.0	1.0	0.0	0.0030674846625766	0.0	0	3	15.36753734227592	15.918634507027027	10.75953520729641	11.331758573293856	21.05507760509136	20.45070289144645	3.387774361330014	2.2112370535347403	2.0	7.915723802513632	7.88019901726483	0.382888449610131	6.98795776643899e-08	0.394594681635471	1.68068387581206e-07	2458	8	879901	158	2466
4	BY_ES	ES	0.118326588936839	76.7298916096616	2.62664872685188	1.35175325451327	15.1642301954524	11.2083417511272	3.16953175578953	BY	ES	ESP	ES	es	46797754.0	BY	BY	BLR	ru	9483499.0	34.0	4575.0	6105479.0	1088467.0	1453098.0	1646080.0	0.0310505927271637	0.1735730662279818	0.1304652142066476	0.1147748315257902	3.1236592381762604e-05	0.000749326956984	37314255.0	4.934650596789223	0	0	2762.70043945312	227461.5705	24655.75	1.0	3.0	47076.782	9466.856	ESP	BLR	1393490524.518	63080457.023	29.6	6.662999999999999	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	12.334736582225284	10.1127654179887	10.75953520729641	9.15555213528119	21.05507760509136	17.95992156516603	3.387774361330014	1.8965698335804	2.0	7.923963900461954	76.7298916096616	0.239239866081854	1.53162850717377e-73	0.300668885775016	3.09608047595276e-47	518	18	881807	125	536
5	ES_RU	ES	1.13276769722288	75.3598096618859	2.70731441837573	1.34647662661014	16.3622781578714	10.6813224766098	2.98812675512273	RU	ES	ESP	ES	es	46797754.0	RU	RU	RUS	ru	144477859.0	1394.0	85190.0	6105479.0	11651435.0	1453098.0	10961164.0	0.0310505927271637	0.0758674310089271	0.1304652142066476	0.0806451250083931	0.000119641915352	0.0139530411946384	-97680105.0	0.3239095202815817	0	0	3449.29956054688	2808704.5	3165754.25	1.0	3.0	47076.782	144373.535	ESP	RUS	1393490524.518	1699876578.871	29.6	11.774	1.0	0.0	0.0	11.0	14.0	0.0337423312883435	0.0029755579171094	1	2	14.848233902973517	14.967901894805834	10.75953520729641	11.880159213020566	21.05507760509136	21.253821484708908	3.387774361330014	2.465893710606069	2.0	8.145926463484411	75.3598096618859	0.232981311780771	8.123876667224759e-77	0.295235357879796	1.55847074945044e-48	552	19	881779	124	571
6	DK_ES	ES	0.008873002592663	3.55738616223351	1.38082773293517	4.12761738254939	2.55885287430278	1.83076283856878	3.56456400175375e-05	DK	ES	ESP	ES	es	46797754.0	DK	DK	DNK	da	5793636.0	5392.0	9665.0	6105479.0	557573.0	1453098.0	259282.0	0.0310505927271637	0.0447528978347966	0.1304652142066476	0.0962388731359719	0.009670482609452	0.0015830043801641	41004118.0	8.077441178562133	0	0	2074.9765625	1922656.5625	2432676.5	1.0	1.0	47076.782	5818.553000000001	ESP	DNK	1393490524.518	350104327.65900004	29.6	60.17	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	14.469218413977208	14.704502649505594	10.75953520729641	8.668806884383505	21.05507760509136	19.67374174705672	3.387774361330014	4.09717388923226	0.0	7.6377051374202845	3.55738616223351	0.848472480948577	0.134742728703708	0.772089758504485	0.100253680814467	1016	2	881321	131	1018
7	EE_ES	ES	0.0184294393473215	1.10215869109953	1.03836689177715	0.776917898892594	0.15699999667333	1.07492680954852	1.13095748114787	EE	ES	ESP	ES	es	46797754.0	EE	EE	EST	et	1321977.0	770.0	2093.0	6105479.0	134370.0	1453098.0	201868.0	0.0310505927271637	0.1527015976828643	0.1304652142066476	0.1016432207216918	0.0057304457840291	0.0003428068461131	45475777.0	35.39982465655605	0	0	2895.3837890625	238272.4765	188823.875	1.0	2.0	47076.782	1326.59	ESP	EST	1393490524.518	31471100.656	29.6	23.723000000000003	1.0	1.0	1.0	0.0	1.0	0.0	0.0333333333333333	0	3	12.381170157045728	12.148569981266377	10.75953520729641	7.190367018995804	21.05507760509136	17.26458024319861	3.387774361330014	3.166445041680228	1.0	7.970872950844872	1.10215869109953	0.105982818429319	0.358725451574846	0.107576386242317	0.365888696194772	4519	97	870244	7608	4616
8	ES_FR	ES	0.116776580223791	1.51947498474969	1.45493817401882	1.33267544106732	1.40892351778226	1.62325428712263	1.23188836696396	FR	ES	ESP	ES	es	46797754.0	FR	FR	FRA	fr	66965912.0	315179.0	202792.0	6105479.0	7969551.0	1453098.0	2207397.0	0.0310505927271637	0.0329629946651066	0.1304652142066476	0.1190090713615607	0.0395478992480253	0.033214756778297	-20168158.0	0.6988294880535637	1	0	1054.65637207031	49088204.0	42216734.0	1.0	1.0	47076.782	67059.891	ESP	FRA	1393490524.518	2715518274.227	29.6	40.494	1.0	1.0	1.0	9.0	15.0	0.0276073619631901	0.0106382978723404	3	0	17.709129319502257	17.55832724068928	10.75953520729641	11.11334139460882	21.05507760509136	21.72224866501587	3.387774361330014	3.7011538149893246	0.0	6.9609702791765145	1.51947498474969	0.0606357425930446	5.2168904335022695e-12	0.0741855931181073	1.70608502639292e-08	14594	288	863922	3709	14882
9	ES_GB	ES	0.0467928419449714	2.04867887797616	1.44498915192398	1.49895949210674	1.48094603075762	0.799506328880284	1.60566035318332	GB	ES	ESP	ES	es	46797754.0	GB	GB	GBR	en	66460344.0	157000.0	258965.0	6105479.0	9063422.0	1453098.0	4820072.0	0.0310505927271637	0.0725255349265119	0.1304652142066476	0.1363733838031292	0.0173223755883815	0.042415181511557	-19662590.0	0.7041455277450867	0	0	1263.37878417969	21972959.0	13907816.0	1.0	0.0	47076.782	66834.40400000001	ESP	GBR	1393490524.518	2829108219.166	29.6	42.33	1.0	1.0	1.0	21.0	16.0	0.0644171779141104	0.0060286360211002	1	2	16.905323118951298	16.447961542226572	10.75953520729641	11.10997325688246	21.05507760509136	21.76322738203932	3.387774361330014	3.745496054532832	-1.0	7.141544985684446	2.04867887797616	0.0121486855007774	0.0	0.0360936918311964	7.345439953507161e-88	319345	16291	537492	9407	335636
