hashtag	num_langs	de_count	en_count	es_count	pt_count	tr_count	pl_count
AynıGemideDeğiliz	2	2	0	0	0	10252	0
adana	2	36	0	0	0	7160	0
ElçinSangu	2	3	0	0	0	3108	0
SoundCloud	2	361	0	0	0	2486	0
Survivor	2	28	0	0	0	1016	0
MTVBRKPOPBTS	4	4	0	1620	152	4328	0
SONDAKİKA	2	4	0	0	0	891	0
IDOL	2	5	0	0	0	2140	0
ankara	2	38	0	0	0	14458	0
senanlatkaradeniz	2	134	0	0	0	38655	0
IVoteBTSBBMAs	2	2	0	0	0	3672	0
ÖnceMilletÖnceMemleket	2	12	0	0	0	1552	0
iHeartAwards	4	26	0	9744	410	4794	0
Ankara	2	14	0	0	0	1435	0
ESC2018	2	2407	0	0	0	26	0
SafiyeinciTutuklansın	2	6	0	0	0	1334	0
sakarya	2	5	0	0	0	5442	0
Repost	4	72	0	9154	28	2900	0
söz	2	24	0	0	0	34498	0
Merkel	2	3264	0	0	0	13	0
UlaşTunaAstepe	2	2	0	0	0	2976	0
ARMY	4	4	0	2105	73	2641	0
iyigeceler	2	12	0	0	0	13050	0
Galatasaray	2	124	0	0	0	2437	0
MTVBRKPOPEXO	2	2	0	0	0	1340	0
cumartesi	2	34	0	0	0	27829	0
BTS	3	43	0	0	556	27088	0
Çarşamba	2	2	0	0	0	2732	0
usdtry	2	60	0	0	0	5478	0
eyt	2	5	0	0	0	16776	0
TwitterYıldönümüm	2	6	0	0	0	3534	0
seks	2	6	0	0	0	13885	0
BeşiktaşınMaçıVar	2	34	0	0	0	3522	0
fenerinmacivar	2	30	0	0	0	5478	0
NSU	2	1182	0	0	0	12	0
Berlin	2	2453	0	0	0	52	0
ProtestoEdiyorum	2	1	0	0	0	1734	0
BestFanArmy	4	8	0	2126	110	4140	0
NefTah	2	16	0	0	0	1917	0
29Ekim1923	2	2	0	0	0	1156	0
GERSWE	2	1706	0	0	0	31	0
AlpNavruz	2	8	0	0	0	1337	0
Fenerbahce	2	14	0	0	0	1161	0
PremiosMTVMIAW	2	2	0	0	0	1464	0
fenerbahçe	2	136	0	0	0	16071	0
TearItUpBTS	2	8	0	0	0	7558	0
29Ekim	2	3	0	0	0	2470	0
günaydın	2	50	0	0	0	19552	0
istanbul	2	105	0	0	0	11934	0
Çukur	2	14	0	0	0	1102	0
KCAMexico	4	362	0	7006	67	1256	0
MuhsinYazıcıoğlu	2	3	0	0	0	1816	0
gay	2	55	0	0	0	5448	0
DHDL	2	1910	0	0	0	5	0
YürüÖnümüzde	2	3	0	0	0	1948	0
Konya	2	1	0	0	0	1746	0
Twitter	4	3944	0	4092	14	152	0
Börü	2	2	0	0	0	2004	0
